Time Entered (hr),Time Spent (min),Rushing,Senior,Nice Day: False
9.17,57.71,Senior,True,False
8.8,64.44,Normal,False,False
10.03,45.43,Senior,True,False
11.0,21.77,Dinner,False,False
13.85,6.48,Normal,False,False
13.07,14.02,Normal,False,False
5.25,48.33,Senior,True,False
6.23,9.68,Lunch,False,False
5.03,57.11,Normal,False,False
13.79,12.32,Normal,False,False
12.4,22.64,Dinner,False,False
6.59,50.26,Normal,False,False
1.46,45.72,Normal,False,False
9.81,43.74,Normal,False,False
10.11,44.66,Normal,False,False
0.26,74.16,Normal,False,False
6.17,13.86,Lunch,False,False
10.44,15.76,Normal,False,False
8.84,16.41,Normal,False,False
4.7,69.31,Normal,False,False
13.28,46.3,Normal,False,False
6.84,58.05,Senior,True,False
8.94,12.58,Normal,False,False
11.92,16.22,Dinner,False,False
3.51,64.92,Normal,False,False
12.88,58.66,Normal,False,False
0.17,45.25,Senior,True,False
6.11,8.76,Lunch,False,False
6.33,47.39,Senior,True,False
6.71,8.58,Lunch,False,False
2.32,9.57,Normal,False,False
6.12,58.5,Senior,True,False
12.23,16.14,Dinner,False,False
1.92,55.78,Senior,True,False
11.82,23.8,Dinner,False,False
7.89,44.74,Normal,False,False
6.63,8.39,Lunch,False,False
12.96,40.52,Normal,False,False
11.62,16.07,Dinner,False,False
4.92,53.51,Normal,False,False
13.96,50.44,Normal,False,False
6.21,9.46,Lunch,False,False
4.0,15.5,Normal,False,False
13.85,9.82,Normal,False,False
13.67,10.05,Normal,False,False
13.9,22.77,Normal,False,False
10.94,19.78,Normal,False,False
10.93,47.55,Senior,True,False
11.9,12.47,Normal,False,False
13.41,69.36,Normal,False,False
1.25,53.27,Senior,True,False
10.39,46.1,Senior,True,False
13.01,64.1,Normal,False,False
7.89,11.07,Normal,False,False
10.7,11.27,Normal,False,False
12.52,29.58,Normal,False,False
0.48,58.28,Senior,True,False
13.13,9.18,Normal,False,False
11.15,24.44,Normal,False,False
6.25,6.8,Lunch,False,False
0.06,39.78,Normal,False,False
8.25,23.35,Normal,False,False
12.67,17.74,Normal,False,False
9.75,37.95,Normal,False,False
6.25,8.25,Lunch,False,False
9.61,72.04,Normal,False,False
6.33,12.78,Lunch,False,False
6.33,10.63,Lunch,False,False
6.02,6.58,Lunch,False,False
0.45,39.54,Normal,False,False
10.45,15.53,Normal,False,False
5.7,20.75,Normal,False,False
12.98,15.77,Normal,False,False
6.89,13.28,Lunch,False,False
10.84,49.74,Senior,True,False
13.76,59.48,Normal,False,False
7.63,58.39,Normal,False,False
5.78,52.46,Normal,False,False
13.18,12.43,Normal,False,False
3.88,16.84,Normal,False,False
1.66,50.32,Senior,True,False
9.95,48.89,Senior,True,False
9.45,6.14,Normal,False,False
9.6,19.04,Normal,False,False
6.5,7.8,Lunch,False,False
10.63,38.76,Normal,False,False
0.43,68.87,Normal,False,False
10.6,56.49,Senior,True,False
12.27,21.61,Dinner,False,False
10.43,73.0,Normal,False,False
1.5,16.82,Normal,False,False
4.09,42.4,Normal,False,False
4.38,24.64,Normal,False,False
11.4,31.96,Normal,False,False
13.49,47.25,Normal,False,False
13.07,46.65,Normal,False,False
6.13,30.96,Normal,False,False
7.47,10.72,Normal,False,False
1.14,6.4,Normal,False,False
12.25,18.28,Dinner,False,False
6.59,11.47,Lunch,False,False
13.96,49.54,Normal,False,False
11.86,18.27,Dinner,False,False
1.42,57.11,Senior,True,False
10.86,73.68,Normal,False,False
6.87,52.51,Senior,True,False
8.43,25.04,Normal,False,False
8.22,20.88,Normal,False,False
9.59,9.87,Normal,False,False
7.18,49.16,Senior,True,False
13.27,48.08,Normal,False,False
9.98,40.27,Normal,False,False
11.8,16.03,Dinner,False,False
8.62,54.22,Normal,False,False
13.62,20.17,Normal,False,False
11.94,21.03,Dinner,False,False
13.67,63.37,Normal,False,False
11.52,21.66,Dinner,False,False
7.61,49.23,Normal,False,False
3.06,46.13,Normal,False,False
11.03,23.57,Dinner,False,False
9.76,35.44,Normal,False,False
12.9,21.78,Normal,False,False
6.51,7.35,Lunch,False,False
12.22,20.88,Dinner,False,False
7.69,68.34,Normal,False,False
6.96,12.75,Lunch,False,False
7.47,58.49,Senior,True,False
10.05,34.5,Normal,False,False
5.84,23.35,Normal,False,False
11.39,17.11,Dinner,False,False
4.33,55.74,Senior,True,False
6.72,8.44,Lunch,False,False
5.91,50.96,Senior,True,False
0.66,47.8,Senior,True,False
12.82,19.37,Normal,False,False
13.42,21.92,Normal,False,False
1.14,55.39,Senior,True,False
8.51,10.4,Normal,False,False
9.32,19.58,Normal,False,False
10.64,27.31,Normal,False,False
12.98,17.02,Normal,False,False
6.88,23.36,Normal,False,False
7.98,47.18,Senior,True,False
1.56,50.69,Senior,True,False
13.86,7.16,Normal,False,False
1.64,7.73,Normal,False,False
8.94,54.56,Senior,True,False
13.49,17.99,Normal,False,False
11.36,23.48,Dinner,False,False
6.61,10.18,Lunch,False,False
4.95,50.3,Senior,True,False
13.14,60.68,Normal,False,False
12.13,23.81,Dinner,False,False
10.25,58.78,Senior,True,False
0.55,48.46,Normal,False,False
12.56,47.17,Normal,False,False
8.49,50.93,Senior,True,False
3.15,21.21,Normal,False,False
4.61,45.51,Senior,True,False
6.13,67.79,Normal,False,False
7.98,41.51,Normal,False,False
12.43,16.84,Dinner,False,False
10.95,66.74,Normal,False,False
10.59,39.57,Normal,False,False
6.25,50.56,Senior,True,False
6.9,50.18,Senior,True,False
7.81,57.22,Senior,True,False
6.35,11.99,Lunch,False,False
7.6,41.28,Normal,False,False
5.88,23.34,Normal,False,False
13.72,71.11,Normal,False,False
3.14,74.62,Normal,False,False
12.12,23.54,Dinner,False,False
8.86,51.61,Normal,False,False
4.12,70.34,Normal,False,False
9.91,7.89,Normal,False,False
6.11,11.06,Lunch,False,False
0.44,57.16,Normal,False,False
12.53,22.1,Normal,False,False
6.89,12.92,Lunch,False,False
9.7,72.24,Normal,False,False
12.22,9.83,Normal,False,False
11.77,19.23,Dinner,False,False
11.88,22.81,Dinner,False,False
1.8,25.28,Normal,False,False
10.65,49.54,Senior,True,False
13.31,52.57,Normal,False,False
10.27,45.42,Normal,False,False
6.3,10.69,Lunch,False,False
12.74,74.73,Normal,False,False
8.47,23.79,Normal,False,False
12.35,44.17,Normal,False,False
11.56,19.85,Dinner,False,False
7.47,13.89,Normal,False,False
3.12,47.58,Senior,True,False
8.15,37.9,Normal,False,False
12.04,22.22,Dinner,False,False
11.74,29.57,Normal,False,False
2.75,59.5,Senior,True,False
5.76,48.8,Senior,True,False
6.72,17.63,Normal,False,False
9.14,23.98,Normal,False,False
3.32,18.76,Normal,False,False
3.35,48.98,Senior,True,False
12.29,29.36,Normal,False,False
11.44,23.24,Dinner,False,False
1.27,57.81,Senior,True,False
12.8,45.83,Normal,False,False
12.93,23.01,Normal,False,False
6.76,9.89,Lunch,False,False
7.89,59.83,Senior,True,False
12.9,47.01,Normal,False,False
12.84,19.42,Normal,False,False
1.17,54.92,Normal,False,False
9.44,13.86,Normal,False,False
11.4,18.94,Dinner,False,False
6.61,13.04,Lunch,False,False
7.23,19.11,Normal,False,False
13.84,15.38,Normal,False,False
0.84,7.67,Normal,False,False
11.84,17.81,Dinner,False,False
10.54,6.08,Normal,False,False
7.38,49.58,Senior,True,False
8.17,48.37,Senior,True,False
6.6,6.18,Lunch,False,False
1.5,59.06,Normal,False,False
8.7,46.16,Senior,True,False
3.23,49.76,Senior,True,False
1.67,45.47,Senior,True,False
13.46,18.91,Normal,False,False
8.29,42.62,Normal,False,False
12.26,22.96,Dinner,False,False
11.93,20.52,Dinner,False,False
6.9,10.39,Lunch,False,False
2.1,52.63,Senior,True,False
9.18,11.15,Normal,False,False
8.61,13.1,Normal,False,False
9.18,61.16,Normal,False,False
1.85,32.79,Normal,False,False
5.27,21.99,Normal,False,False
6.89,12.79,Lunch,False,False
7.47,38.49,Normal,False,False
11.91,23.62,Dinner,False,False
11.57,23.06,Dinner,False,False
11.9,23.47,Dinner,False,False
11.08,16.3,Dinner,False,False
0.25,8.65,Normal,False,False
6.27,57.74,Normal,False,False
12.87,36.99,Normal,False,False
6.16,40.68,Normal,False,False
6.66,27.78,Normal,False,False
6.29,19.29,Normal,False,False
7.22,69.57,Normal,False,False
11.73,21.68,Dinner,False,False
5.38,21.84,Normal,False,False
11.15,23.76,Dinner,False,False
11.69,19.94,Dinner,False,False
11.29,20.34,Dinner,False,False
13.76,13.15,Normal,False,False
0.9,45.39,Senior,True,False
12.0,8.95,Normal,False,False
13.92,13.53,Normal,False,False
12.37,19.13,Dinner,False,False
11.79,57.06,Senior,True,False
11.51,22.2,Dinner,False,False
12.76,50.66,Normal,False,False
12.4,21.6,Dinner,False,False
11.81,22.24,Dinner,False,False
4.64,54.66,Senior,True,False
11.72,6.23,Normal,False,False
6.28,10.76,Lunch,False,False
11.48,19.59,Dinner,False,False
7.67,13.39,Normal,False,False
13.04,16.77,Normal,False,False
11.93,18.69,Dinner,False,False
4.19,48.83,Senior,True,False
7.6,10.8,Normal,False,False
13.31,14.16,Normal,False,False
9.22,9.72,Normal,False,False
4.72,20.18,Normal,False,False
11.89,20.31,Dinner,False,False
4.58,48.62,Senior,True,False
12.48,22.71,Dinner,False,False
11.52,16.71,Dinner,False,False
6.46,12.48,Lunch,False,False
12.13,16.47,Dinner,False,False
6.81,30.16,Normal,False,False
11.37,20.06,Dinner,False,False
8.49,58.59,Senior,True,False
6.92,11.73,Lunch,False,False
0.73,20.5,Normal,False,False
9.45,18.13,Normal,False,False
13.25,73.39,Normal,False,False
8.09,21.79,Normal,False,False
5.45,53.39,Senior,True,False
9.87,48.22,Senior,True,False
13.86,18.88,Normal,False,False
5.3,51.34,Senior,True,False
7.76,51.09,Normal,False,False
6.88,28.23,Normal,False,False
10.34,8.81,Normal,False,False
6.04,13.92,Lunch,False,False
