Time Entered (hr),Time Spent (min),Rushing,Senior,Nice Day: False
12.07,1384.3,Dinner,False,False
11.94,1158.58,Dinner,False,False
9.53,3571.47,Normal,False,False
6.78,759.15,Lunch,False,False
13.51,1346.57,Normal,False,False
12.73,2802.67,Normal,False,False
4.24,3057.38,Senior,True,False
6.01,720.68,Lunch,False,False
6.58,452.92,Lunch,False,False
11.84,1036.88,Dinner,False,False
13.11,896.08,Normal,False,False
8.98,3453.48,Senior,True,False
11.92,1244.28,Dinner,False,False
9.06,3227.84,Senior,True,False
12.25,1968.75,Normal,False,False
2.21,3133.66,Senior,True,False
6.73,443.24,Lunch,False,False
11.78,990.88,Dinner,False,False
7.31,3973.72,Normal,False,False
13.25,4103.42,Normal,False,False
4.77,2245.92,Normal,False,False
10.25,872.76,Normal,False,False
11.29,1294.33,Dinner,False,False
8.92,2279.03,Normal,False,False
12.05,1254.21,Dinner,False,False
3.25,2769.96,Normal,False,False
13.26,1325.26,Normal,False,False
3.57,1320.49,Normal,False,False
0.1,2977.9,Senior,True,False
6.7,517.07,Lunch,False,False
8.33,1732.04,Normal,False,False
12.17,1262.75,Dinner,False,False
6.2,3361.25,Senior,True,False
13.8,417.25,Normal,False,False
4.64,654.2,Normal,False,False
11.74,1222.09,Normal,False,False
6.67,787.83,Lunch,False,False
2.88,3295.99,Senior,True,False
3.28,3019.43,Senior,True,False
3.63,3901.31,Normal,False,False
6.05,513.22,Lunch,False,False
12.47,1105.81,Dinner,False,False
8.04,1198.27,Normal,False,False
6.1,496.17,Lunch,False,False
2.44,3556.86,Senior,True,False
13.78,626.68,Normal,False,False
6.1,1880.97,Normal,False,False
9.49,3108.48,Senior,True,False
13.09,393.57,Normal,False,False
11.61,3448.24,Senior,True,False
11.45,1348.62,Dinner,False,False
5.27,2201.52,Normal,False,False
13.19,1343.99,Normal,False,False
13.81,1727.02,Normal,False,False
3.73,3295.01,Normal,False,False
2.37,4073.22,Normal,False,False
13.02,2020.74,Normal,False,False
12.59,1220.31,Normal,False,False
7.44,3502.8,Senior,True,False
5.21,2743.32,Senior,True,False
6.81,548.11,Normal,False,False
11.31,2817.03,Senior,True,False
0.22,3394.34,Senior,True,False
12.65,4014.0,Normal,False,False
12.55,1324.28,Normal,False,False
4.43,3190.34,Normal,False,False
13.37,3156.72,Normal,False,False
11.48,1234.97,Dinner,False,False
10.18,1490.26,Normal,False,False
11.64,435.57,Normal,False,False
6.19,547.13,Lunch,False,False
6.51,498.55,Lunch,False,False
6.95,360.85,Lunch,False,False
6.43,567.62,Lunch,False,False
13.45,867.04,Normal,False,False
5.48,3013.35,Senior,True,False
11.61,1404.51,Dinner,False,False
11.68,2763.69,Senior,True,False
6.46,3885.42,Normal,False,False
6.52,3080.62,Senior,True,False
6.3,3219.59,Senior,True,False
1.88,1050.71,Normal,False,False
10.25,3161.56,Senior,True,False
13.71,2668.72,Normal,False,False
6.08,897.87,Normal,False,False
2.66,2899.8,Senior,True,False
9.91,672.08,Normal,False,False
