Time Entered (hr),Time Spent (min),Rushing,Senior,Nice Day: False
1.08,59.63,Weekend,False,False
8.87,53.84,Weekend,False,False
9.95,56.1,Weekend,False,False
11.72,65.29,Weekend,False,False
5.57,54.41,Weekend,False,False
2.39,65.46,Weekend,False,False
8.61,54.02,Weekend,False,False
7.95,67.95,Weekend,False,False
6.68,51.93,Senior,True,False
7.41,51.43,Senior,True,False
12.21,66.75,Weekend,False,False
2.45,55.02,Senior,True,False
9.66,50.62,Weekend,False,False
12.74,64.83,Weekend,False,False
14.75,15.17,Weekend,False,False
7.58,51.0,Weekend,False,False
4.49,68.19,Weekend,False,False
14.96,2.36,Weekend,False,False
12.07,62.21,Weekend,False,False
4.77,61.76,Weekend,False,False
14.64,21.64,Weekend,False,False
0.05,65.25,Weekend,False,False
9.05,60.04,Weekend,False,False
11.37,65.91,Weekend,False,False
11.57,58.82,Weekend,False,False
11.48,68.72,Weekend,False,False
9.25,52.34,Senior,True,False
11.4,55.65,Weekend,False,False
3.77,51.55,Weekend,False,False
6.35,53.03,Weekend,False,False
13.51,60.21,Weekend,False,False
10.01,62.73,Weekend,False,False
14.21,47.65,Weekend,False,False
8.21,55.87,Weekend,False,False
1.12,64.43,Weekend,False,False
11.98,56.59,Weekend,False,False
5.57,69.05,Weekend,False,False
7.7,57.9,Weekend,False,False
8.64,69.67,Weekend,False,False
4.32,51.69,Weekend,False,False
3.77,61.4,Weekend,False,False
6.52,55.83,Weekend,False,False
11.62,53.46,Senior,True,False
5.6,54.4,Senior,True,False
0.09,57.17,Weekend,False,False
10.85,58.82,Senior,True,False
13.24,51.06,Weekend,False,False
14.55,26.9,Weekend,False,False
10.69,68.26,Weekend,False,False
10.11,66.7,Weekend,False,False
9.8,47.19,Senior,True,False
1.34,53.03,Weekend,False,False
8.5,47.38,Senior,True,False
6.13,51.82,Weekend,False,False
9.19,58.61,Weekend,False,False
11.99,68.48,Weekend,False,False
13.67,51.09,Weekend,False,False
10.85,63.81,Weekend,False,False
1.75,62.34,Weekend,False,False
1.44,51.22,Senior,True,False
10.64,64.57,Weekend,False,False
10.76,67.19,Weekend,False,False
