Time Entered (hr),Time Spent (min),Rushing,Senior,Nice Day: False
12.17,23.8,Dinner,False,False
6.76,11.24,Lunch,False,False
6.03,65.87,Normal,False,False
4.66,22.67,Normal,False,False
11.51,23.95,Dinner,False,False
6.1,13.55,Lunch,False,False
12.18,47.18,Normal,False,False
0.38,51.38,Senior,True,False
6.19,48.7,Normal,False,False
11.98,33.46,Normal,False,False
11.52,10.03,Normal,False,False
6.68,46.77,Senior,True,False
2.27,64.05,Normal,False,False
6.55,11.36,Lunch,False,False
13.1,29.04,Normal,False,False
6.13,9.3,Lunch,False,False
2.1,6.97,Normal,False,False
6.53,13.59,Lunch,False,False
10.44,45.7,Senior,True,False
13.57,44.32,Normal,False,False
6.45,12.47,Lunch,False,False
9.73,58.03,Senior,True,False
0.32,45.82,Senior,True,False
4.9,59.41,Senior,True,False
7.97,36.73,Normal,False,False
8.76,20.65,Normal,False,False
6.69,10.82,Normal,False,False
12.48,16.58,Dinner,False,False
12.74,24.75,Normal,False,False
2.27,14.27,Normal,False,False
2.98,23.13,Normal,False,False
10.46,11.95,Normal,False,False
11.34,72.1,Normal,False,False
11.6,19.73,Dinner,False,False
7.82,73.08,Normal,False,False
1.86,28.72,Normal,False,False
2.52,48.93,Senior,True,False
13.47,47.83,Normal,False,False
2.53,53.88,Senior,True,False
5.44,21.33,Normal,False,False
13.77,18.48,Normal,False,False
4.74,21.79,Normal,False,False
7.8,7.72,Normal,False,False
11.49,18.07,Dinner,False,False
13.04,7.77,Normal,False,False
13.78,62.73,Normal,False,False
6.92,10.53,Lunch,False,False
6.01,8.55,Lunch,False,False
11.83,16.87,Dinner,False,False
13.96,21.9,Normal,False,False
5.5,14.48,Normal,False,False
8.4,51.85,Senior,True,False
12.13,22.39,Dinner,False,False
12.49,21.26,Normal,False,False
12.72,22.26,Normal,False,False
12.01,21.23,Dinner,False,False
10.68,17.96,Normal,False,False
6.06,11.87,Lunch,False,False
12.45,16.45,Dinner,False,False
10.16,70.0,Normal,False,False
3.65,48.19,Normal,False,False
1.07,33.76,Normal,False,False
13.58,58.16,Normal,False,False
13.11,28.91,Normal,False,False
9.19,7.98,Normal,False,False
11.02,20.35,Dinner,False,False
11.6,21.19,Dinner,False,False
3.75,23.45,Normal,False,False
12.05,20.57,Dinner,False,False
11.24,58.82,Senior,True,False
10.73,50.96,Senior,True,False
11.99,18.86,Normal,False,False
6.11,12.82,Lunch,False,False
6.97,8.24,Lunch,False,False
12.52,27.29,Normal,False,False
11.78,23.15,Dinner,False,False
8.29,17.32,Normal,False,False
13.49,33.3,Normal,False,False
12.94,24.16,Normal,False,False
12.37,16.08,Dinner,False,False
4.47,15.05,Normal,False,False
7.26,72.75,Normal,False,False
11.15,45.8,Senior,True,False
11.36,21.85,Dinner,False,False
10.46,12.29,Normal,False,False
8.11,16.63,Normal,False,False
4.32,48.21,Senior,True,False
5.86,47.74,Senior,True,False
11.64,21.94,Dinner,False,False
7.7,48.28,Normal,False,False
12.57,27.01,Normal,False,False
3.5,18.84,Normal,False,False
9.04,50.85,Senior,True,False
13.83,16.28,Normal,False,False
12.5,21.51,Normal,False,False
13.88,51.07,Normal,False,False
2.58,48.66,Senior,True,False
9.49,19.45,Normal,False,False
13.28,12.63,Normal,False,False
10.85,15.67,Normal,False,False
6.67,43.05,Normal,False,False
6.05,6.38,Lunch,False,False
11.4,16.98,Normal,False,False
2.43,53.4,Senior,True,False
7.85,34.12,Normal,False,False
10.29,48.73,Senior,True,False
6.37,9.78,Lunch,False,False
6.25,10.77,Lunch,False,False
12.39,23.41,Dinner,False,False
11.94,20.96,Dinner,False,False
4.62,27.6,Normal,False,False
5.41,48.24,Senior,True,False
7.76,17.08,Normal,False,False
7.85,50.35,Senior,True,False
6.98,13.42,Lunch,False,False
5.16,24.9,Normal,False,False
5.14,39.15,Normal,False,False
13.29,13.4,Normal,False,False
13.6,29.95,Normal,False,False
2.62,49.71,Senior,True,False
