Time Entered (hr), Time Spend (min), Rushing, Senior
6.78,11.68,Lunch,false
7.66,13.36,Normal,false
6.71,13.4,Lunch,false
10.7,17.14,Normal,false
3.61,54.78,Senior,true
13.55,21.72,Normal,false
1.88,52.15,Senior,true
6.71,12.89,Lunch,false
12.7,13.17,Normal,false
6.46,7.34,Lunch,false
6.56,9.04,Lunch,false
1.73,56.66,Senior,true
5.76,50.28,Senior,true
14.07,8.25,Normal,false
12.39,18.01,Dinner,false
10.33,40.75,Normal,false
9.02,13.69,Normal,false
4.37,54.63,Senior,true
5.68,56.04,Normal,false
1.51,46.04,Senior,true
5.46,35.78,Normal,false
6.34,6.72,Lunch,false
10.9,37.78,Normal,false
4.93,38.95,Normal,false
14.32,17.28,Normal,false
6.92,8.05,Lunch,false
8.85,52.68,Senior,true
6.68,6.17,Lunch,false
6.85,6.27,Lunch,false
7.48,57.44,Senior,true
12.07,17.82,Dinner,false
5.96,45.89,Senior,true
4.76,45.93,Senior,true
2.55,63.37,Normal,false
11.01,30.87,Normal,false
10.3,49.69,Senior,true
5.73,56.76,Senior,true
0.91,46.42,Senior,true
9.27,32.35,Normal,false
6.63,8.03,Lunch,false
5.41,58.53,Senior,true
1.8,13.3,Normal,false
4.69,51.37,Senior,true
9.79,17.96,Normal,false
7.7,30.21,Normal,false
11.04,22.88,Dinner,false
5.91,55.37,Senior,true
7.47,28.03,Normal,false
11.18,20.63,Dinner,true
6.82,13.23,Lunch,false
7.43,49.32,Senior,true
5.63,50.72,Senior,true
9.66,58.92,Senior,true
2.73,55.12,Senior,true
5.41,50.4,Senior,true
5.41,56.52,Senior,true
5.86,50.22,Senior,true
14.87,0.13,Normal,false
4.67,47.48,Senior,true
9.78,51.84,Normal,false
11.39,16.43,Dinner,false
12.14,20.51,Dinner,false
12.51,70.98,Normal,false
4.8,54.53,Senior,true
6.3,13.04,Lunch,false
14.7,6.02,Normal,false
4.49,53.41,Senior,true
5.99,55.0,Senior,true
12.81,37.85,Normal,false
12.46,22.96,Dinner,false
6.04,8.73,Lunch,false
9.77,21.79,Normal,false
11.78,17.44,Dinner,true
8.18,73.45,Normal,false
5.59,15.63,Normal,false
5.2,56.87,Senior,true
14.63,0.37,Normal,false
4.6,55.72,Senior,true
13.94,22.53,Normal,false
9.51,34.74,Normal,false
2.7,9.79,Normal,false
5.04,52.82,Senior,true
7.17,42.23,Normal,false
4.45,49.44,Senior,true
4.22,57.0,Senior,true
12.55,58.65,Normal,false
13.17,21.65,Normal,false
4.88,11.17,Normal,false
4.53,50.39,Senior,true
11.85,23.42,Dinner,false
3.92,14.83,Normal,false
13.98,59.11,Normal,false
5.9,56.72,Senior,true
4.58,55.2,Senior,true
11.2,22.69,Dinner,false
7.72,69.14,Normal,false
5.0,48.07,Senior,true
5.14,20.27,Normal,false
14.79,0.21,Normal,false
4.44,49.79,Senior,true
4.42,59.59,Senior,true
6.05,8.46,Lunch,false
4.34,56.51,Senior,true
11.99,17.58,Dinner,false
7.62,7.86,Normal,false
13.73,13.86,Normal,false
14.82,0.18,Normal,false
5.36,45.56,Senior,true
13.19,61.96,Normal,false
0.98,60.18,Normal,false
5.68,59.83,Senior,true
7.86,53.93,Senior,true
12.49,17.42,Dinner,false
8.48,19.15,Normal,false
6.88,18.22,Normal,false
6.43,12.64,Lunch,false
5.6,57.25,Senior,true
2.5,56.86,Senior,true
7.18,58.6,Normal,false
4.1,46.71,Senior,true
6.91,8.56,Lunch,true
2.75,47.23,Normal,false
6.75,8.48,Lunch,false
14.8,0.2,Normal,false
13.9,1.1,Normal,false
13.06,24.45,Normal,false
4.26,45.77,Senior,true
3.12,44.41,Normal,false
6.87,72.8,Normal,false
12.84,11.21,Normal,false
8.84,56.67,Senior,true
8.82,45.95,Senior,true
4.31,17.22,Normal,false
5.25,46.11,Senior,true
13.78,19.38,Normal,false
10.01,46.9,Senior,true
6.34,7.01,Lunch,false
6.79,6.02,Lunch,false
2.06,55.21,Senior,true
7.18,19.84,Normal,false
5.39,53.33,Senior,true
13.3,37.85,Normal,false
9.26,20.5,Normal,false
14.61,0.39,Normal,false
4.95,49.27,Senior,true
13.75,34.01,Normal,false
7.33,22.79,Normal,false
5.72,58.87,Senior,true
6.79,12.9,Lunch,false
11.95,22.41,Dinner,false
4.81,48.71,Senior,true
2.02,46.59,Senior,true
12.94,9.29,Normal,false
9.07,24.64,Normal,false
1.54,14.64,Normal,false
4.26,51.2,Senior,true
12.41,38.44,Normal,false
14.61,0.39,Normal,false
10.16,59.66,Senior,true
7.25,44.72,Normal,false
11.27,16.76,Dinner,false
5.35,52.31,Senior,true
12.73,71.9,Normal,false
4.59,50.91,Senior,true
3.52,42.0,Normal,false
5.49,53.09,Senior,true
13.22,67.68,Normal,false
9.63,54.06,Normal,false
4.16,47.8,Senior,true
8.29,73.87,Normal,false
12.2,18.33,Dinner,false
5.74,45.14,Senior,true
12.4,22.11,Dinner,false
11.3,16.3,Dinner,false
9.56,48.14,Normal,false
4.53,26.12,Normal,false
14.13,50.64,Normal,false
11.62,20.89,Dinner,false
7.07,7.79,Normal,false
6.38,8.39,Lunch,false
6.67,11.49,Lunch,false
13.31,48.98,Normal,false
5.94,55.13,Senior,true
7.82,13.57,Normal,false
3.12,48.75,Normal,false
4.63,49.52,Senior,true
4.98,53.85,Senior,true
6.96,8.54,Lunch,false
10.84,48.93,Senior,true
14.09,0.91,Normal,false
5.13,17.84,Normal,false
5.66,53.06,Senior,true
5.63,52.64,Senior,true
4.17,45.24,Senior,true
11.73,18.77,Dinner,false
0.61,29.62,Normal,false
11.17,22.16,Dinner,false
13.35,6.84,Normal,false
11.33,23.08,Dinner,false
5.36,46.89,Senior,true
6.48,8.65,Lunch,false
7.61,52.37,Normal,false
0.86,53.39,Senior,true
4.55,51.93,Senior,true
12.33,23.87,Dinner,false
5.82,56.37,Senior,true
7.56,70.58,Normal,false
14.08,18.8,Normal,false
5.79,51.37,Senior,true
2.7,53.08,Senior,true
7.15,55.31,Normal,false
10.16,32.95,Normal,false
13.36,64.33,Normal,false
12.5,21.18,Dinner,false
11.37,21.69,Dinner,false
4.45,55.81,Senior,true
12.42,22.34,Dinner,false
7.51,62.88,Normal,false
4.7,57.85,Senior,true
12.1,17.19,Dinner,false
9.16,6.86,Normal,false
14.08,19.8,Normal,false
6.65,12.22,Lunch,false
4.85,11.79,Normal,false
4.28,23.91,Normal,false
11.08,20.99,Dinner,false
11.53,29.57,Normal,false
2.6,46.11,Senior,true
5.44,56.28,Senior,true
0.13,56.4,Senior,true
2.92,19.88,Normal,false
5.34,47.26,Senior,true
6.19,13.3,Lunch,false
5.95,48.54,Senior,true
8.75,54.7,Normal,false
6.84,58.48,Normal,false
4.38,48.39,Senior,true
4.51,47.08,Senior,true
11.67,16.51,Dinner,false
13.07,53.16,Normal,false
9.56,56.04,Senior,true
5.75,53.28,Senior,true
6.28,10.55,Lunch,false
12.75,35.58,Normal,false
12.84,8.32,Normal,false
10.78,9.45,Normal,false
8.39,18.86,Normal,false
6.77,12.0,Lunch,false
4.58,55.46,Senior,true
4.64,58.6,Senior,true
0.12,10.55,Normal,false
8.47,45.61,Normal,false
6.9,11.59,Lunch,true
4.51,52.21,Senior,true
4.32,13.51,Normal,false
6.76,9.65,Lunch,false
6.72,6.31,Normal,false
5.75,50.24,Senior,true
5.27,53.12,Senior,true
10.78,71.63,Normal,false
10.16,46.95,Senior,true
4.22,9.41,Normal,false
3.81,70.65,Normal,false
3.8,46.17,Normal,false
7.03,12.29,Normal,false
13.65,49.61,Normal,false
7.42,7.14,Normal,false
13.84,42.93,Normal,false
11.64,68.11,Normal,false
14.81,0.19,Normal,false
4.82,50.18,Senior,true
3.85,61.02,Normal,false
3.72,59.58,Senior,true
13.08,12.67,Normal,false
14.69,0.31,Normal,false
4.32,51.27,Senior,true
6.74,9.08,Normal,false
1.39,72.48,Normal,false
14.66,18.76,Normal,false
0.76,7.79,Normal,false
9.41,14.41,Normal,false
11.11,16.82,Dinner,false
5.2,55.95,Senior,true
5.06,51.59,Senior,true
4.21,46.28,Senior,true
7.37,56.58,Senior,true
10.12,54.71,Senior,true
13.85,19.37,Normal,false
4.2,65.44,Normal,false
5.27,51.06,Senior,true
7.81,43.6,Normal,false
3.65,50.55,Senior,true
12.54,51.35,Normal,false
5.91,63.87,Normal,false
4.98,48.91,Senior,true
10.15,32.83,Normal,false
6.72,23.82,Normal,false
4.71,51.25,Senior,true
12.08,25.6,Normal,false
5.53,46.21,Senior,true
6.05,11.98,Lunch,false
4.67,55.43,Senior,true
5.15,46.28,Senior,true
6.89,9.32,Lunch,false
10.94,14.52,Normal,false
4.33,51.1,Senior,true
4.74,51.64,Senior,true
13.76,47.86,Normal,false
0.83,60.63,Normal,false
4.19,49.72,Senior,true
12.43,20.61,Dinner,false
6.04,9.71,Lunch,false
9.55,21.78,Normal,false
3.17,58.28,Senior,true
13.27,45.66,Normal,false
11.33,17.21,Dinner,true
12.73,73.58,Normal,false
7.57,33.02,Normal,false
6.41,7.21,Lunch,false
11.77,22.58,Dinner,true
3.95,46.84,Senior,true
14.24,12.72,Normal,false
11.42,23.15,Dinner,false
4.96,59.78,Senior,true
6.26,43.22,Normal,false
6.6,11.22,Lunch,false
11.82,18.6,Dinner,false
1.09,45.57,Senior,true
5.14,55.17,Senior,true
6.69,9.03,Lunch,false
14.76,0.24,Normal,false
4.75,57.34,Senior,true
4.19,57.65,Senior,true
5.9,51.87,Senior,true
4.88,55.23,Senior,true
10.75,53.01,Senior,true
9.84,59.4,Senior,true
2.63,59.75,Senior,true
6.53,11.12,Lunch,false
2.39,62.85,Normal,false
7.69,28.66,Normal,false
4.77,19.81,Normal,false
7.9,58.58,Normal,false
4.01,47.33,Senior,true
11.99,23.93,Dinner,false
6.99,13.95,Lunch,false
10.66,55.67,Normal,false
3.48,50.02,Normal,false
9.1,51.75,Senior,true
13.06,24.08,Normal,false
5.62,50.22,Senior,true
6.36,9.41,Lunch,false
8.69,8.44,Normal,false
6.72,13.51,Lunch,false
5.04,51.47,Senior,true
3.74,51.11,Senior,true
12.17,9.13,Normal,false
13.67,23.85,Normal,false
4.63,49.33,Senior,true
0.19,8.08,Normal,false
5.15,55.05,Senior,true
5.61,47.73,Senior,true
14.23,0.77,Normal,false
0.61,21.57,Normal,false
3.03,7.91,Normal,false
5.08,55.9,Senior,true
6.44,13.64,Lunch,false
8.16,28.97,Normal,false
12.12,17.5,Dinner,false
5.95,20.6,Normal,false
4.16,49.61,Senior,true
9.26,13.37,Normal,false
0.38,14.1,Normal,false
4.46,46.75,Senior,true
9.57,57.86,Senior,true
0.75,23.25,Normal,false
4.64,57.16,Senior,true
6.63,11.13,Lunch,false
13.37,74.27,Normal,false
11.05,18.34,Dinner,true
4.16,56.35,Senior,true
4.96,18.43,Normal,false
6.44,12.17,Lunch,false
12.92,62.91,Normal,false
14.11,31.29,Normal,false
9.51,50.63,Normal,false
13.62,20.94,Normal,false
