Time Entered (hr), Time Spend (min), Rushing, Senior
2.63,17.91,Normal,false
5.54,52.91,Senior,true
11.38,20.01,Dinner,false
11.35,22.02,Dinner,true
10.8,46.9,Normal,false
1.32,59.01,Senior,true
6.75,12.15,Lunch,false
11.97,22.56,Normal,false
4.51,51.07,Senior,true
4.98,52.52,Normal,false
6.19,10.01,Lunch,false
6.14,13.71,Lunch,false
11.87,16.58,Dinner,false
6.63,12.9,Lunch,false
11.72,18.66,Dinner,false
5.05,58.69,Senior,true
1.26,48.92,Normal,false
6.01,12.32,Lunch,false
11.7,60.22,Normal,false
6.39,13.16,Lunch,true
11.06,16.82,Dinner,false
10.55,40.1,Normal,false
11.33,18.37,Dinner,false
6.45,7.43,Lunch,false
12.16,23.66,Dinner,false
9.2,46.07,Senior,true
7.29,12.99,Normal,false
0.26,12.68,Normal,false
6.23,10.34,Lunch,false
14.33,15.22,Normal,false
7.92,23.41,Normal,false
6.52,51.8,Senior,true
8.55,22.49,Normal,false
4.22,41.57,Normal,false
6.92,6.52,Lunch,true
3.51,18.71,Normal,false
6.47,18.64,Normal,false
8.72,10.67,Normal,false
6.36,6.18,Lunch,false
10.41,55.18,Senior,true
11.4,17.52,Dinner,false
6.76,6.54,Lunch,false
0.88,24.54,Normal,false
10.7,45.06,Senior,true
11.96,17.72,Dinner,false
2.4,42.31,Normal,false
10.89,12.99,Normal,false
6.76,12.96,Lunch,false
4.71,69.87,Normal,false
13.8,24.15,Normal,false
12.21,16.37,Dinner,false
9.49,56.91,Normal,false
7.42,27.7,Normal,false
7.32,23.49,Normal,false
11.28,23.29,Dinner,true
14.23,37.66,Normal,false
14.09,8.47,Normal,false
12.84,13.68,Normal,false
6.73,12.53,Lunch,false
4.85,32.08,Normal,false
5.59,56.79,Normal,false
0.24,46.46,Normal,false
11.82,19.83,Dinner,false
3.4,7.37,Normal,false
3.08,22.74,Normal,false
4.55,55.36,Senior,true
4.41,48.01,Senior,true
6.55,8.81,Lunch,false
6.68,22.69,Normal,false
6.74,6.2,Lunch,false
7.99,51.83,Normal,false
9.74,50.83,Normal,false
8.65,58.9,Senior,true
6.21,16.61,Normal,false
11.88,22.87,Dinner,false
7.83,10.72,Normal,false
13.73,22.73,Normal,false
6.31,12.92,Lunch,false
11.13,21.53,Dinner,false
12.34,19.32,Dinner,false
7.76,22.08,Normal,false
7.3,60.72,Normal,false
14.3,0.7,Normal,false
1.49,65.79,Normal,false
11.91,73.07,Normal,false
11.26,21.03,Dinner,true
3.87,17.54,Normal,false
6.01,8.36,Lunch,false
13.22,22.56,Normal,false
13.62,8.38,Normal,false
14.23,10.0,Normal,false
10.62,30.33,Normal,false
11.19,18.93,Dinner,false
10.24,31.47,Normal,false
5.26,37.85,Normal,false
8.84,22.94,Normal,false
8.57,59.67,Normal,false
11.82,20.07,Dinner,false
6.29,7.96,Lunch,false
6.15,8.21,Lunch,true
14.37,21.46,Normal,false
6.39,8.07,Lunch,false
11.53,21.89,Dinner,true
12.39,21.38,Dinner,false
9.02,50.75,Senior,true
13.7,23.69,Normal,false
14.03,0.97,Normal,false
6.33,9.2,Lunch,false
0.88,13.77,Normal,false
10.46,48.87,Senior,true
10.09,50.12,Normal,false
8.23,9.55,Normal,false
14.93,0.07,Normal,false
10.96,10.41,Normal,false
6.8,7.9,Lunch,false
4.33,7.12,Normal,false
9.19,18.96,Normal,false
0.75,58.08,Senior,true
3.65,66.55,Normal,false
0.87,20.65,Normal,false
10.91,46.86,Normal,false
8.53,49.89,Senior,true
9.92,68.17,Normal,false
12.47,22.76,Dinner,false
13.4,40.7,Normal,false
6.66,11.97,Lunch,false
9.72,57.77,Senior,true
7.9,16.96,Normal,false
6.93,13.85,Lunch,false
6.53,8.72,Lunch,false
8.98,20.11,Normal,false
10.9,16.79,Normal,false
7.15,16.83,Normal,false
13.63,56.3,Normal,false
6.55,10.37,Lunch,false
6.06,6.4,Lunch,false
0.09,23.83,Normal,false
6.76,56.57,Normal,false
6.95,8.14,Lunch,false
11.42,18.67,Dinner,false
4.89,6.68,Normal,false
12.22,19.32,Dinner,false
6.7,6.6,Lunch,false
1.37,64.82,Normal,false
6.67,11.74,Lunch,false
12.79,39.91,Normal,false
12.17,17.74,Dinner,false
9.72,23.19,Normal,false
10.45,14.86,Normal,false
6.86,19.84,Normal,false
12.12,23.59,Dinner,false
6.37,9.61,Lunch,false
11.75,23.03,Dinner,false
3.33,54.41,Senior,true
13.12,69.47,Normal,false
4.34,45.91,Senior,true
3.98,47.55,Senior,true
11.13,22.55,Dinner,false
13.95,23.83,Normal,false
12.17,17.12,Dinner,false
12.25,19.2,Dinner,false
9.54,71.75,Normal,false
6.21,7.97,Lunch,true
8.01,33.19,Normal,false
11.97,22.91,Dinner,false
6.67,15.92,Normal,false
7.33,56.37,Senior,true
10.36,11.26,Normal,false
2.87,47.85,Senior,true
6.86,8.87,Lunch,false
11.14,19.2,Dinner,false
6.8,12.06,Lunch,false
6.17,6.08,Lunch,false
9.87,57.96,Senior,true
2.48,59.1,Senior,true
13.05,29.0,Normal,false
12.03,20.09,Normal,false
13.88,59.55,Normal,false
11.55,16.98,Dinner,false
12.67,50.63,Normal,false
2.59,55.39,Senior,true
6.61,8.94,Lunch,false
6.53,10.73,Lunch,false
11.79,19.66,Dinner,false
7.71,57.39,Normal,false
13.43,63.78,Normal,false
6.86,13.36,Lunch,false
14.01,0.99,Normal,false
8.88,17.77,Normal,false
10.42,54.3,Normal,false
1.87,51.32,Senior,true
14.02,58.48,Normal,false
6.45,73.77,Normal,false
10.21,55.22,Normal,false
11.57,23.2,Dinner,false
6.9,9.44,Lunch,false
4.3,48.35,Senior,true
7.12,43.14,Normal,false
3.25,52.49,Senior,true
2.75,51.97,Senior,true
14.24,22.48,Normal,false
6.79,13.31,Lunch,false
0.14,8.94,Normal,false
6.68,9.87,Lunch,false
13.61,41.51,Normal,false
3.45,62.74,Normal,false
14.07,9.47,Normal,false
6.34,12.97,Lunch,false
14.76,0.24,Normal,false
7.54,29.71,Normal,false
14.75,0.25,Normal,false
2.48,23.41,Normal,false
9.86,47.9,Senior,true
8.25,21.41,Normal,false
6.14,12.43,Lunch,true
11.1,23.83,Dinner,false
7.2,36.59,Normal,false
3.93,10.55,Normal,false
11.75,21.7,Dinner,false
9.77,17.0,Normal,false
4.34,15.06,Normal,false
13.6,35.69,Normal,false
12.59,14.78,Normal,false
4.04,64.38,Normal,false
3.99,11.23,Normal,false
2.26,14.08,Normal,false
12.3,21.57,Dinner,false
7.23,7.28,Normal,false
4.36,10.81,Normal,false
14.59,0.41,Normal,false
10.45,58.2,Normal,false
11.9,21.29,Dinner,false
13.66,33.19,Normal,false
14.72,13.11,Normal,false
13.58,25.89,Normal,false
1.67,38.6,Normal,false
3.4,62.36,Normal,false
11.65,17.73,Dinner,false
